lemma,definition,type,def_normalized,def_template,templates,llm_templates
danitan,hear it in a certain place,vti,hear it in a certain place,hear {{object}} in a certain place,['hear {{object}} in a certain place'],"{'verbs': ['hear'], 'templates': ['hear {{object}} in a certain place']}"
bishigwapidoon,miss trying to tie it,vti2,miss trying to tie it,miss trying to tie {{object}},['miss trying to tie {{object}}'],"{'verbs': ['miss'], 'templates': ['miss trying to tie {{object}}']}"
niibideyaakwa'an,pin them (inanimate) on a clothesline side-by-side,vti,pin them (inanimate) on a clothesline side-by-side,pin {{object}} (inanimate) on a clothesline side-by-side,['pin {{object}} (inanimate) on a clothesline side-by-side'],"{'verbs': ['pin'], 'templates': ['pin {{object}} on a clothesline side-by-side']}"
jiishaakwa'an,scrape it off something using something,vti,scrape it off something using something,scrape {{object}} off something using something,['scrape {{object}} off something using something'],"{'verbs': ['scrape'], 'templates': ['scrape {{object}} off something using something']}"
moona'an,"dig it up, expose it (using something)",vti,"dig it up, expose it","dig {{object}} up, expose {{object}}","['dig {{object}} up, expose {{object}}']","{'verbs': ['dig', 'expose'], 'templates': ['dig {{object}} up', 'expose {{object}}']}"
bakiteshkan,"bump, knock it [with body or foot]",vti,"bump, knock it [with body or foot]","bump, knock {{object}} [with body or foot]","['bump, knock {{object}} [with body or foot]']","{'verbs': ['bump', 'knock'], 'templates': ['bump {{object}}', 'knock {{object}}']}"
izhibii'an,write it a certain way,vti,write it a certain way,write {{object}} a certain way,['write {{object}} a certain way'],"{'verbs': ['write'], 'templates': ['write {{object}} a certain way']}"
baashkijiisidoon,burst it (something bag-like) by dropping it or hitting it against something,vti2,burst it by dropping it or hitting it against something,burst {{object}} by dropping {{object}} or hitting {{object}} against something,['burst {{object}} by dropping {{object}} or hitting {{object}} against something'],"{'verbs': ['burst'], 'templates': ['burst {{object}} by dropping {{object}}', 'burst {{object}} by hitting {{object}} against something']}"
biijibizonitoon,drive it here,vti2,drive it here,drive {{object}} here,['drive {{object}} here'],"{'verbs': ['drive'], 'templates': ['drive {{object}} here']}"
ginwaabiigizhan,cut it (string-like) long,vti,cut it long,cut {{object}} long,['cut {{object}} long'],"{'verbs': ['cut'], 'templates': ['cut {{object}} long']}"
dawibidoon,pull it apart to form a gap,vti2,pull it apart to form a gap,pull {{object}} apart to form a gap,['pull {{object}} apart to form a gap'],"{'verbs': ['pull'], 'templates': ['pull {{object}} apart to form a gap']}"
gwayakogwaadan,sew it correctly,vti,sew it correctly,sew {{object}} correctly,['sew {{object}} correctly'],"{'verbs': ['sew'], 'templates': ['sew {{object}} correctly']}"
baapaagaakwa'an,"knock on it (as something stick- or wood-like. e.g., a door)",vti,knock on it,knock on {{object}},['knock on {{object}}'],"{'verbs': ['knock'], 'templates': ['knock on {{object}}']}"
napaazikan,wear it the wrong way; put it on the wrong way,vti,wear it the wrong way; put it on the wrong way,wear {{object}} the wrong way; put {{object}} on the wrong way,"['wear {{object}} the wrong way', ' put {{object}} on the wrong way']","{'verbs': ['wear', 'put'], 'templates': ['wear {{object}} the wrong way', 'put {{object}} on the wrong way']}"
gawaganaandan,"knock it down, over (by hitting)",vti,"knock it down, over (by hitting)","knock {{object}} down, over (by hitting)","['knock {{object}} down, over (by hitting)']","{'verbs': ['knock'], 'templates': ['knock {{object}} down', 'knock {{object}} over']}"
wiisagipidan,"find it tastes bitter, tastes spicy",vti,"find it tastes bitter, tastes spicy","find {{object}} tastes bitter, tastes spicy","['find {{object}} tastes bitter, tastes spicy']","{'verbs': ['find'], 'templates': ['find {{object}} tastes bitter', 'find {{object}} tastes spicy']}"
zhiiwitaagana'an,salt it,vti,salt it,salt {{object}},['salt {{object}}'],"{'verbs': ['salt'], 'templates': ['salt {{object}}']}"
gibinan,hold it to block or close something off; plug it with hand,vti,hold it to block or close something off; plug it with hand,hold {{object}} to block or close something off; plug {{object}} with hand,"['hold {{object}} to block or close something off', ' plug {{object}} with hand']","{'verbs': ['hold', 'plug'], 'templates': ['hold {{object}} to block or close something off', 'plug {{object}} with hand']}"
azhewidoon,"carry, take it back",vti2,"carry, take it back","carry, take {{object}} back","['carry, take {{object}} back']","{'verbs': ['carry', 'take'], 'templates': ['carry {{object}} back', 'take {{object}} back']}"
zagaswaadan,"smoke it (e.g., kinnickinnick)",vti,smoke it,smoke {{object}},['smoke {{object}}'],"{'verbs': ['smoke'], 'templates': ['smoke {{object}}']}"
maamiginan,"collect them (inanimate) together, gather them (inanimate)",vti,"collect them (inanimate) together, gather them (inanimate)","collect {{object}} (inanimate) together, gather {{object}} (inanimate)","['collect {{object}} (inanimate) together, gather {{object}} (inanimate)']","{'verbs': ['collect', 'gather'], 'templates': ['collect {{object}} together', 'gather {{object}}']}"
bagamidaabaadan,arrive dragging it,vti,arrive dragging it,arrive dragging {{object}},['arrive dragging {{object}}'],"{'verbs': ['arrive', 'dragging'], 'templates': ['arrive dragging {{object}}']}"
gwayakwendan,"think it right, correct; be sure, certain about it",vti,"think it right, correct; be sure, certain about it","think {{object}} right, correct; be sure, certain about {{object}}","['think {{object}} right, correct', ' be sure, certain about {{object}}']","{'verbs': ['think', 'be'], 'templates': ['think {{object}} right', 'think {{object}} correct', 'be sure about {{object}}', 'be certain about {{object}}']}"
biinjiwebishkan,"kick it in, shove it in (with foot or body)",vti,"kick it in, shove it in (with foot or body)","kick {{object}} in, shove {{object}} in (with foot or body)","['kick {{object}} in, shove {{object}} in (with foot or body)']","{'verbs': ['kick', 'shove'], 'templates': ['kick {{object}} in', 'shove {{object}} in']}"
babaamaandawaadan,climb about on it,vti,climb about on it,climb about on {{object}},['climb about on {{object}}'],"{'verbs': ['climb'], 'templates': ['climb about on {{object}}']}"
bimaandawaadan,climb along on it,vti,climb along on it,climb along on {{object}},['climb along on {{object}}'],"{'verbs': ['climb'], 'templates': ['climb along on {{object}}']}"
naazibiinigaadan,carry it down to the water on the shoulder,vti,carry it down to the water on the shoulder,carry {{object}} down to the water on the shoulder,['carry {{object}} down to the water on the shoulder'],"{'verbs': ['carry'], 'templates': ['carry {{object}} down to the water on the shoulder']}"
waawiyekodan,carve it round,vti,carve it round,carve {{object}} round,['carve {{object}} round'],"{'verbs': ['carve'], 'templates': ['carve {{object}} round']}"
gwekishkan,wear it turned around,vti,wear it turned around,wear {{object}} turned around,['wear {{object}} turned around'],"{'verbs': ['wear'], 'templates': ['wear {{object}} turned around']}"
agokadoon,"attach it, stick it on",vti2,"attach it, stick it on","attach {{object}}, stick {{object}} on","['attach {{object}}, stick {{object}} on']","{'verbs': ['attach', 'stick'], 'templates': ['attach {{object}}', 'stick {{object}} on']}"
gagwedinan,test it by touch,vti,test it by touch,test {{object}} by touch,['test {{object}} by touch'],"{'verbs': ['test'], 'templates': ['test {{object}} by touch']}"
babaamidaabaadan,"drag, pull it about",vti,"drag, pull it about","drag, pull {{object}} about","['drag, pull {{object}} about']","{'verbs': ['drag', 'pull'], 'templates': ['drag {{object}} about', 'pull {{object}} about']}"
wawiingetoon,make it skilfully,vti2,make it skilfully,make {{object}} skilfully,['make {{object}} skilfully'],"{'verbs': ['make'], 'templates': ['make {{object}} skilfully']}"
wiishkobitoon,sweeten it,vti2,sweeten it,sweeten {{object}},['sweeten {{object}}'],"{'verbs': ['sweeten'], 'templates': ['sweeten {{object}}']}"
beshizhan,make a cut or slit on it,vti,make a cut or slit on it,make a cut or slit on {{object}},['make a cut or slit on {{object}}'],"{'verbs': ['make'], 'templates': ['make a cut on {{object}}', 'make a slit on {{object}}']}"
ondaawadoon,haul it from a certain place,vti2,haul it from a certain place,haul {{object}} from a certain place,['haul {{object}} from a certain place'],"{'verbs': ['haul'], 'templates': ['haul {{object}} from a certain place']}"
zhaagawizhan,cut it oblong or oval,vti,cut it oblong or oval,cut {{object}} oblong or oval,['cut {{object}} oblong or oval'],"{'verbs': ['cut'], 'templates': ['cut {{object}} oblong', 'cut {{object}} oval']}"
zinigobidoon,"rub, massage it with something",vti2,"rub, massage it with something","rub, massage {{object}} with something","['rub, massage {{object}} with something']","{'verbs': ['rub', 'massage'], 'templates': ['rub {{object}} with something', 'massage {{object}} with something']}"
maanaakizan,take a poor picture of it,vti,take a poor picture of it,take a poor picture of {{object}},['take a poor picture of {{object}}'],"{'verbs': ['take'], 'templates': ['take a poor picture of {{object}}']}"
aatawe'an,"put it out, extinguish it",vti,"put it out, extinguish it","put {{object}} out, extinguish {{object}}","['put {{object}} out, extinguish {{object}}']","{'verbs': ['put', 'extinguish'], 'templates': ['put {{object}} out', 'extinguish {{object}}']}"
waasikotoon,make it shiny,vti2,make it shiny,make {{object}} shiny,['make {{object}} shiny'],"{'verbs': ['make'], 'templates': ['make {{object}} shiny']}"
zhaaboshkaatoon,sift it,vti2,sift it,sift {{object}},['sift {{object}}'],"{'verbs': ['sift'], 'templates': ['sift {{object}}']}"
